timestamp,open,high,low,close,volume
2019-06-20,0.0265,0.0270,0.0255,0.0260,221015
2019-06-19,0.0250,0.0269,0.0250,0.0250,570938
2019-06-18,0.0270,0.0295,0.0240,0.0269,76246
2019-06-17,0.0360,0.0400,0.0260,0.0290,249303
2019-06-14,0.0295,0.0360,0.0235,0.0360,469561
2019-06-13,0.0370,0.0370,0.0251,0.0299,526217
2019-06-12,0.0470,0.0470,0.0290,0.0290,560731
2019-06-11,0.0294,0.0477,0.0290,0.0477,508230
2019-06-10,0.0274,0.0319,0.0265,0.0280,581168
2019-06-07,0.0261,0.0340,0.0235,0.0274,773629
2019-06-06,0.0320,0.0330,0.0210,0.0329,579478
2019-06-05,0.0500,0.0500,0.0260,0.0299,794627
2019-06-04,0.0315,0.0396,0.0230,0.0340,1601728
2019-06-03,0.0393,0.0400,0.0295,0.0295,673094
2019-05-31,0.0385,0.0410,0.0385,0.0410,45201
2019-05-30,0.0363,0.0424,0.0363,0.0409,703500
2019-05-29,0.0430,0.0430,0.0326,0.0405,227100
2019-05-28,0.0438,0.0438,0.0325,0.0429,363579
2019-05-24,0.0386,0.0479,0.0370,0.0477,728514
2019-05-23,0.0609,0.0609,0.0400,0.0440,744570
2019-05-22,0.0570,0.0610,0.0550,0.0550,59500
2019-05-21,0.0601,0.0649,0.0601,0.0649,10300
2019-05-20,0.0669,0.0669,0.0635,0.0635,1300
2019-05-17,0.0636,0.0636,0.0603,0.0603,16615
2019-05-16,0.0610,0.0680,0.0589,0.0601,75281
2019-05-15,0.0698,0.0698,0.0550,0.0610,54249
2019-05-14,0.0637,0.0700,0.0600,0.0698,221371
2019-05-13,0.0600,0.0665,0.0600,0.0638,97620
2019-05-10,0.0680,0.0742,0.0680,0.0699,67099
2019-05-09,0.0694,0.0695,0.0636,0.0695,44472
2019-05-08,0.0707,0.0725,0.0635,0.0635,99061
2019-05-07,0.0761,0.0848,0.0576,0.0673,241925
2019-05-06,0.0795,0.0900,0.0795,0.0820,318975
2019-05-03,0.0855,0.0900,0.0750,0.0794,433413
2019-05-02,0.0700,0.0855,0.0560,0.0828,904048
2019-05-01,0.0649,0.0781,0.0626,0.0780,138726
2019-04-30,0.0640,0.0775,0.0555,0.0630,507728
2019-04-29,0.0661,0.0750,0.0600,0.0650,739330
2019-04-26,0.0794,0.0794,0.0660,0.0745,39243
2019-04-25,0.0610,0.0700,0.0610,0.0655,706219
2019-04-24,0.0793,0.0795,0.0610,0.0699,779808
2019-04-23,0.0675,0.0900,0.0675,0.0793,812578
2019-04-22,0.0575,0.0750,0.0575,0.0650,451835
2019-04-18,0.0650,0.0750,0.0600,0.0650,663948
2019-04-17,0.0900,0.0900,0.0780,0.0780,23304
2019-04-16,0.0840,0.0900,0.0840,0.0840,13102
2019-04-15,0.0900,0.0900,0.0900,0.0900,101
2019-04-12,0.0900,0.0900,0.0840,0.0900,811
2019-04-11,0.0900,0.0900,0.0900,0.0900,411
2019-04-10,0.0900,0.0900,0.0900,0.0900,1701
2019-04-09,0.0890,0.0900,0.0780,0.0900,52159
2019-04-08,0.0900,0.0900,0.0780,0.0890,44734
2019-04-05,0.0774,0.0900,0.0700,0.0780,75981
2019-04-04,0.0685,0.0796,0.0660,0.0660,98792
2019-04-03,0.0617,0.0700,0.0617,0.0700,98400
2019-04-02,0.0573,0.0622,0.0573,0.0622,3231
2019-04-01,0.0616,0.0622,0.0506,0.0622,23640
2019-03-29,0.0628,0.0628,0.0552,0.0622,64950
2019-03-28,0.0596,0.0628,0.0569,0.0628,61233
2019-03-27,0.0700,0.0700,0.0552,0.0600,174000
2019-03-26,0.0569,0.0749,0.0569,0.0700,286043
2019-03-25,0.0875,0.0875,0.0571,0.0599,80242
2019-03-22,0.0800,0.0949,0.0695,0.0727,147881
2019-03-21,0.0695,0.0770,0.0650,0.0770,252531
2019-03-20,0.0675,0.0699,0.0600,0.0695,268611
2019-03-19,0.0650,0.0770,0.0600,0.0675,346593
2019-03-18,0.0455,0.0650,0.0455,0.0650,73973
2019-03-15,0.0520,0.0600,0.0510,0.0510,38902
2019-03-14,0.0600,0.0600,0.0510,0.0510,15145
2019-03-13,0.0550,0.0600,0.0510,0.0510,37672
2019-03-12,0.0600,0.0600,0.0600,0.0600,10166
2019-03-11,0.0600,0.0640,0.0551,0.0600,31380
2019-03-08,0.0602,0.0650,0.0550,0.0650,177622
2019-03-07,0.0800,0.0897,0.0600,0.0700,282605
2019-03-06,0.0725,0.0725,0.0610,0.0700,126074
2019-03-05,0.0675,0.0750,0.0605,0.0697,141233
2019-03-04,0.0600,0.0700,0.0492,0.0605,312614
2019-03-01,0.0750,0.0750,0.0600,0.0600,112410
2019-02-28,0.0700,0.0750,0.0700,0.0700,20906
2019-02-27,0.0732,0.0750,0.0660,0.0750,58436
2019-02-26,0.0700,0.0750,0.0700,0.0725,88700
2019-02-25,0.0750,0.0800,0.0750,0.0800,31838
2019-02-22,0.0750,0.0750,0.0750,0.0750,40000
2019-02-21,0.0800,0.0800,0.0696,0.0750,127149
2019-02-20,0.0894,0.0894,0.0741,0.0849,45488
2019-02-19,0.1000,0.1000,0.0750,0.0759,425770
2019-02-15,0.0701,0.0938,0.0701,0.0938,47387
2019-02-14,0.0752,0.0752,0.0750,0.0750,51802
2019-02-13,0.0950,0.0999,0.0750,0.0800,100070
2019-02-12,0.1200,0.1249,0.0880,0.0900,85185
2019-02-11,0.1310,0.1500,0.1100,0.1200,376617
2019-02-08,0.1117,0.1400,0.1035,0.1400,298965
2019-02-07,0.1350,0.1400,0.1100,0.1297,116260
2019-02-06,0.1205,0.1400,0.1000,0.1400,374053
2019-02-05,0.1049,0.1399,0.0500,0.1200,910586
2019-02-04,0.0467,0.0949,0.0451,0.0910,637009
2019-02-01,0.0350,0.0460,0.0300,0.0450,558199
2019-01-31,0.0400,0.0415,0.0265,0.0265,244176
2019-01-30,0.0460,0.0460,0.0400,0.0400,96830
2019-01-29,0.0430,0.0470,0.0420,0.0470,15310
